nom_complet,url,nom,extension,numero,image_url,image_status,souhaitée,possédée,Illustrateur,Date de sortie
Groudon (Écarlate et Violet Faille Paradoxe 199),https://www.pokepedia.fr/Groudon%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20199),Groudon,Écarlate et Violet Faille Paradoxe,199,https://www.pokepedia.fr/images/a/ac/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_199.png,OK,True,True,Nurikabe,"novembre 3, 2023  +"
Shaofouine (Écarlate et Violet Faille Paradoxe 200),https://www.pokepedia.fr/Shaofouine%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20200),Shaofouine,Écarlate et Violet Faille Paradoxe,200,https://www.pokepedia.fr/images/9/9e/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_200.png,OK,True,True,Taira Akitsu,"novembre 3, 2023  +"
Météno (Écarlate et Violet Faille Paradoxe 201),https://www.pokepedia.fr/M%C3%A9t%C3%A9no%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20201),Météno,Écarlate et Violet Faille Paradoxe,201,https://www.pokepedia.fr/images/4/40/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_201.png,OK,False,False,0313,"novembre 3, 2023  +"
Gigansel (Écarlate et Violet Faille Paradoxe 202),https://www.pokepedia.fr/Gigansel%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20202),Gigansel,Écarlate et Violet Faille Paradoxe,202,https://www.pokepedia.fr/images/f/fd/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_202.png,OK,False,False,kodama,"novembre 3, 2023  +"
Rampe-Ailes (Écarlate et Violet Faille Paradoxe 203),https://www.pokepedia.fr/Rampe-Ailes%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20203),Rampe-Ailes,Écarlate et Violet Faille Paradoxe,203,https://www.pokepedia.fr/images/6/60/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_203.png,OK,False,False,Takeshi Nakamura,"novembre 3, 2023  +"
Miasmax (Écarlate et Violet Faille Paradoxe 204),https://www.pokepedia.fr/Miasmax%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20204),Miasmax,Écarlate et Violet Faille Paradoxe,204,https://www.pokepedia.fr/images/0/02/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_204.png,OK,False,False,Shinya Komatsu,"novembre 3, 2023  +"
Yveltal (Écarlate et Violet Faille Paradoxe 205),https://www.pokepedia.fr/Yveltal%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20205),Yveltal,Écarlate et Violet Faille Paradoxe,205,https://www.pokepedia.fr/images/f/fd/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_205.png,OK,False,False,Masako Tomii,"novembre 3, 2023  +"
Morpeko (Écarlate et Violet Faille Paradoxe 206),https://www.pokepedia.fr/Morpeko%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20206),Morpeko,Écarlate et Violet Faille Paradoxe,206,https://www.pokepedia.fr/images/7/76/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_206.png,OK,False,False,Yuu Nishida,"novembre 3, 2023  +"
Fongus-Furie (Écarlate et Violet Faille Paradoxe 207),https://www.pokepedia.fr/Fongus-Furie%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20207),Fongus-Furie,Écarlate et Violet Faille Paradoxe,207,https://www.pokepedia.fr/images/3/35/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_207.png,OK,False,False,Tomokazu Komiya,"novembre 3, 2023  +"
Steelix (Écarlate et Violet Faille Paradoxe 208),https://www.pokepedia.fr/Steelix%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20208),Steelix,Écarlate et Violet Faille Paradoxe,208,https://www.pokepedia.fr/images/e/e0/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_208.png,OK,False,False,nisimono,"novembre 3, 2023  +"
Noacier (Écarlate et Violet Faille Paradoxe 209),https://www.pokepedia.fr/Noacier%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20209),Noacier,Écarlate et Violet Faille Paradoxe,209,https://www.pokepedia.fr/images/f/f5/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_209.png,OK,False,False,Kurata So,"novembre 3, 2023  +"
Exagide (Écarlate et Violet Faille Paradoxe 210),https://www.pokepedia.fr/Exagide%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20210),Exagide,Écarlate et Violet Faille Paradoxe,210,https://www.pokepedia.fr/images/d/dc/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_210.png,OK,False,False,Takumi Wada,"novembre 3, 2023  +"
Capumain (Écarlate et Violet Faille Paradoxe 211),https://www.pokepedia.fr/Capumain%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20211),Capumain,Écarlate et Violet Faille Paradoxe,211,https://www.pokepedia.fr/images/d/d5/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_211.png,OK,False,False,Yuka Morii,"novembre 3, 2023  +"
Ramboum (Écarlate et Violet Faille Paradoxe 212),https://www.pokepedia.fr/Ramboum%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20212),Ramboum,Écarlate et Violet Faille Paradoxe,212,https://www.pokepedia.fr/images/9/99/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_212.png,OK,False,False,NC Empire,"novembre 3, 2023  +"
Tylton (Écarlate et Violet Faille Paradoxe 213),https://www.pokepedia.fr/Tylton%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20213),Tylton,Écarlate et Violet Faille Paradoxe,213,https://www.pokepedia.fr/images/5/5e/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_213.png,OK,False,False,Jiro Sasumo,"novembre 3, 2023  +"
Porygon-Z (Écarlate et Violet Faille Paradoxe 214),https://www.pokepedia.fr/Porygon-Z%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20214),Porygon-Z,Écarlate et Violet Faille Paradoxe,214,https://www.pokepedia.fr/images/c/c6/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_214.png,OK,False,False,GOSSAN,"novembre 3, 2023  +"
Motorizard (Écarlate et Violet Faille Paradoxe 215),https://www.pokepedia.fr/Motorizard%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20215),Motorizard,Écarlate et Violet Faille Paradoxe,215,https://www.pokepedia.fr/images/b/bf/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_215.png,OK,False,False,Mina Nakai,"novembre 3, 2023  +"
Têtes-de-Fer (Écarlate et Violet Faille Paradoxe 216),https://www.pokepedia.fr/T%C3%AAtes-de-Fer%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20216),Têtes-de-Fer,Écarlate et Violet Faille Paradoxe,216,https://www.pokepedia.fr/images/5/50/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_216.png,OK,False,False,GIDORA,"novembre 3, 2023  +"
Momartik-ex (Écarlate et Violet Faille Paradoxe 217),https://www.pokepedia.fr/Momartik-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20217),Momartik-ex,Écarlate et Violet Faille Paradoxe,217,https://www.pokepedia.fr/images/2/24/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_217.png,OK,False,False,5ban Graphics,"novembre 3, 2023  +"
Carmadura-ex (Écarlate et Violet Faille Paradoxe 218),https://www.pokepedia.fr/Carmadura-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20218),Carmadura-ex,Écarlate et Violet Faille Paradoxe,218,https://www.pokepedia.fr/images/e/e0/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_218.png,OK,False,False,takuyoa,"novembre 3, 2023  +"
Carchacrok-ex (Écarlate et Violet Faille Paradoxe 219),https://www.pokepedia.fr/Carchacrok-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20219),Carchacrok-ex,Écarlate et Violet Faille Paradoxe,219,https://www.pokepedia.fr/images/5/52/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_219.png,OK,False,False,5ban Graphics,"novembre 3, 2023  +"
Sucreine-ex (Écarlate et Violet Faille Paradoxe 220),https://www.pokepedia.fr/Sucreine-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20220),Sucreine-ex,Écarlate et Violet Faille Paradoxe,220,https://www.pokepedia.fr/images/c/c6/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_220.png,OK,False,False,5ban Graphics,"novembre 3, 2023  +"
Sarmuraï-ex (Écarlate et Violet Faille Paradoxe 221),https://www.pokepedia.fr/Sarmura%C3%AF-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20221),Sarmuraï-ex,Écarlate et Violet Faille Paradoxe,221,https://www.pokepedia.fr/images/c/c4/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_221.png,OK,False,False,N-DESIGN Inc.,"novembre 3, 2023  +"
Tokorico-ex (Écarlate et Violet Faille Paradoxe 222),https://www.pokepedia.fr/Tokorico-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20222),Tokorico-ex,Écarlate et Violet Faille Paradoxe,222,https://www.pokepedia.fr/images/6/6a/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_222.png,OK,False,False,PLANETA Igarashi,"novembre 3, 2023  +"
Paume-de-Fer-ex (Écarlate et Violet Faille Paradoxe 223),https://www.pokepedia.fr/Paume-de-Fer-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20223),Paume-de-Fer-ex,Écarlate et Violet Faille Paradoxe,223,https://www.pokepedia.fr/images/2/21/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_223.png,OK,False,False,PLANETA Mochizuki,"novembre 3, 2023  +"
Tutankafer-ex (Écarlate et Violet Faille Paradoxe 224),https://www.pokepedia.fr/Tutankafer-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20224),Tutankafer-ex,Écarlate et Violet Faille Paradoxe,224,https://www.pokepedia.fr/images/e/e2/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_224.png,OK,False,False,Eske Yoshinob,"novembre 3, 2023  +"
Garde-de-Fer-ex (Écarlate et Violet Faille Paradoxe 225),https://www.pokepedia.fr/Garde-de-Fer-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20225),Garde-de-Fer-ex,Écarlate et Violet Faille Paradoxe,225,https://www.pokepedia.fr/images/c/cf/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_225.png,OK,False,False,aky CG Works,"novembre 3, 2023  +"
Hoopa-ex (Écarlate et Violet Faille Paradoxe 226),https://www.pokepedia.fr/Hoopa-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20226),Hoopa-ex,Écarlate et Violet Faille Paradoxe,226,https://www.pokepedia.fr/images/f/fb/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_226.png,OK,False,False,5ban Graphics,"novembre 3, 2023  +"
Salarsen-ex (Écarlate et Violet Faille Paradoxe 227),https://www.pokepedia.fr/Salarsen-ex%20(%C3%89carlate%20et%20Violet%20Faille%20Paradoxe%20227),Salarsen-ex,Écarlate et Violet Faille Paradoxe,227,https://www.pokepedia.fr/images/5/5a/Carte_%C3%89carlate_et_Violet_Faille_Paradoxe_227.png,OK,False,False,5ban Graphics,"novembre 3, 2023  +"
